AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
5.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,73.0,0.0958904109589041,0.2876712328767123,5.0,0.69,1.0,5.0,0.0,2.0,0.0,2.0,6.0,7.0,2.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.1071428571428571,0.25,0.0,2.12,0.5,0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,58.0,0.1379310344827586,0.1551724137931034,1.0,0.85,1.0,10.0,0.0,3.0,0.0,3.333333333333333,4.0,1.0,0.0,0
1.0,1.0,1.0,0.0,0.9333333333333332,0.1333333333333333,0.0,0.8666666666666667,156.0,0.141025641025641,0.4423076923076923,3.0,0.18,2.0,14.0,0.0,1.0,85.0,5.8,1.933333333333333,1.0,0.0,0
2.0,1.0,0.0,0.6,1.0,0.5454545454545454,0.0,0.3181818181818182,467.0,0.0706638115631691,0.2933618843683083,15.0,0.2,1.3333333333333333,20.33333333333333,0.0,1.0,16.666666666666668,5.555555555555555,8.444444444444445,13.5,6.0,0
2.0,1.0,0.5,1.1666666666666667,0.9375,0.0416666666666666,0.0,0.9375,596.0,0.1409395973154362,0.2114093959731543,11.0,0.07,2.2,10.0,0.0,2.0,12.6,3.217391304347826,3.130434782608696,4.304347826086956,3.0,0
1.0,1.0,0.5,0.8333333333333334,0.9210526315789472,0.0526315789473684,0.0,0.9210526315789472,395.0,0.1594936708860759,0.2632911392405063,5.0,0.09,2.2,9.2,0.0,2.0,10.0,2.055555555555556,2.6666666666666665,1.9722222222222223,3.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,0.1025641025641025,0.2564102564102564,1.0,1.69,1.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,89.0,0.1573033707865168,0.1910112359550561,1.0,1.03,1.0,8.0,3.0,1.0,58.0,4.25,1.875,1.0,0.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,66.0,0.1969696969696969,0.2575757575757575,1.0,0.66,1.0,3.0,0.0,2.0,50.0,2.0,1.2857142857142858,1.0,0.0,0
2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,67.0,0.1343283582089552,0.3432835820895522,2.0,0.61,2.0,20.0,0.0,1.0,0.0,6.0,12.0,2.0,1.0,0
2.0,1.0,0.0,1.0,1.0,0.0,0.25,0.75,98.0,0.1122448979591836,0.2959183673469387,4.0,0.45,1.0,16.0,0.0,3.0,41.0,5.5,7.0,2.5,2.0,0
3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,160.0,0.11875,0.275,6.0,0.28,1.0,18.0,0.0,2.0,54.0,7.2,7.4,4.4,2.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,39.0,0.1794871794871795,0.1538461538461538,1.0,1.91,1.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0
1.0,1.0,1.0,1.0,0.7142857142857143,0.1428571428571428,0.0,0.8571428571428571,77.0,0.1688311688311688,0.2727272727272727,3.0,0.45,1.0,4.0,0.0,1.0,100.0,2.8,2.8,1.8,2.0,0
