Name,Version,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
HeartbeatTxnRangeRequest.java,2.3.5,1.0,1.0,2.0,1.0,8.0,0.0,7.0,0.0,6.0,3.0,8.0,41.0,40.0,7.0,43.0,1.0,2.0,0.0,40.0,482.0,74.0,381.0,117.0,208.0,33.0,186.0,270.0,102.0,177.0,8.0,8.0,12.0,0.09,82.0,77.0,86.0,59.0
HeartbeatTxnRangeResponse.java,2.3.5,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,6.0,3.0,6.0,47.0,46.0,6.0,49.0,1.0,2.0,0.0,46.0,588.0,80.0,482.0,130.0,251.0,32.0,219.0,331.0,123.0,229.0,9.0,8.0,16.0,0.07,110.0,105.0,120.0,65.0
HistoryLogger.java,2.3.5,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,4.0,17.0,19.0,15.0,1.0,19.0,13.0,3.0,0.0,3.0,162.0,29.0,120.0,55.0,64.0,13.0,64.0,85.0,44.0,45.0,1.0,1.0,1.0,0.11,19.0,19.0,19.0,19.0
Hive.java,2.3.5,3.0,3.0,3.0,1.0,20.0,0.0,14.0,5.0,8.0,26.0,7.0,179.0,153.0,5.0,179.0,0.0,29.0,4.0,146.0,3963.0,309.0,2704.0,759.0,1680.0,962.0,1128.0,1720.0,628.0,1313.0,28.0,28.0,29.0,0.36,583.0,581.0,635.0,219.0
HiveAccessControlException.java,2.3.5,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,49.0,8.0,20.0,12.0,4.0,21.0,8.0,13.0,10.0,3.0,1.0,1.0,1.0,1.05,4.0,4.0,4.0,4.0
HiveAccessController.java,2.3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,72.0,16.0,34.0,33.0,0.0,22.0,17.0,18.0,18.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0
HiveAccumuloColumnMapping.java,2.3.5,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,0.0,1.0,7.0,7.0,4.0,7.0,0.0,0.0,0.0,7.0,93.0,14.0,48.0,20.0,19.0,31.0,22.0,33.0,17.0,18.0,2.0,2.0,2.0,0.65,10.0,10.0,10.0,7.0
HiveAccumuloHelper.java,2.3.5,2.0,2.0,2.0,1.0,29.0,1.0,13.0,14.0,1.0,0.0,17.0,8.0,8.0,0.0,8.0,1.0,0.0,0.0,7.0,315.0,29.0,149.0,83.0,91.0,137.0,85.0,105.0,68.0,60.0,5.0,5.0,6.0,0.92,20.0,20.0,21.0,10.0
HiveAccumuloMapColumnMapping.java,2.3.5,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,8.0,99.0,15.0,53.0,22.0,23.0,31.0,23.0,33.0,17.0,17.0,3.0,3.0,5.0,0.58,11.0,11.0,14.0,8.0
HiveAccumuloRecordReader.java,2.3.5,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,8.0,8.0,2.0,8.0,0.0,1.0,0.0,7.0,122.0,14.0,87.0,48.0,36.0,25.0,50.0,64.0,40.0,34.0,5.0,5.0,5.0,0.29,13.0,13.0,13.0,8.0
HiveAccumuloRowIdColumnMapping.java,2.3.5,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,43.0,6.0,16.0,9.0,4.0,21.0,7.0,10.0,7.0,3.0,1.0,1.0,1.0,1.31,2.0,2.0,2.0,2.0
HiveAccumuloSplit.java,2.3.5,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,8.0,8.0,1.0,8.0,0.0,0.0,0.0,8.0,94.0,13.0,55.0,29.0,18.0,26.0,29.0,39.0,24.0,16.0,2.0,2.0,2.0,0.47,9.0,9.0,9.0,8.0
HiveAccumuloTableInputFormat.java,2.3.5,4.0,4.0,4.0,2.0,29.0,3.0,19.0,6.0,1.0,0.0,1.0,15.0,15.0,3.0,15.0,0.0,0.0,13.0,2.0,562.0,72.0,362.0,137.0,216.0,128.0,199.0,256.0,126.0,163.0,12.0,12.0,12.0,0.35,68.0,68.0,73.0,30.0
HiveAccumuloTableOutputFormat.java,2.3.5,1.0,1.0,1.0,1.0,11.0,1.0,8.0,1.0,1.0,0.0,0.0,11.0,11.0,1.0,11.0,4.0,0.0,5.0,2.0,190.0,29.0,120.0,45.0,60.0,41.0,57.0,79.0,40.0,46.0,7.0,7.0,7.0,0.34,21.0,21.0,21.0,11.0
HiveAggregate.java,2.3.5,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,0.0,10.0,9.0,1.0,10.0,0.0,0.0,1.0,9.0,140.0,17.0,105.0,54.0,41.0,18.0,50.0,71.0,44.0,33.0,8.0,8.0,8.0,0.17,17.0,17.0,17.0,10.0
HiveAggregateJoinTransposeRule.java,2.3.5,5.0,5.0,5.0,2.0,38.0,1.0,31.0,4.0,4.0,4.0,1.0,8.0,4.0,6.0,8.0,0.0,5.0,0.0,3.0,384.0,29.0,293.0,139.0,174.0,62.0,148.0,196.0,120.0,127.0,26.0,26.0,30.0,0.21,41.0,41.0,45.0,18.0
HiveAggregateProjectMergeRule.java,2.3.5,5.0,5.0,5.0,3.0,27.0,1.0,23.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,168.0,15.0,118.0,49.0,66.0,35.0,59.0,86.0,50.0,53.0,14.0,14.0,14.0,0.3,20.0,20.0,20.0,13.0
HiveAggregatePullUpConstantsRule.java,2.3.5,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,47.0,6.0,23.0,14.0,7.0,18.0,12.0,16.0,12.0,6.0,2.0,2.0,2.0,0.78,3.0,3.0,3.0,2.0
HiveAlgorithmsConf.java,2.3.5,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,39.0,7.0,15.0,7.0,4.0,17.0,7.0,11.0,7.0,4.0,1.0,1.0,1.0,1.13,3.0,3.0,3.0,3.0
HiveAlgorithmsUtil.java,2.3.5,2.0,2.0,2.0,1.0,14.0,0.0,12.0,1.0,1.0,11.0,0.0,21.0,10.0,6.0,21.0,1.0,0.0,0.0,20.0,365.0,29.0,297.0,121.0,170.0,39.0,159.0,223.0,112.0,141.0,6.0,6.0,9.0,0.13,57.0,56.0,62.0,29.0
